company,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,com_response_to_consumer,timely_response,consumer_dis,complaint_id
"(Former)Shapiro, Swertfeger & Hasty, LLP",11,11,11,11,9,5,0,11,11,0,7,11,11,11,11,4,11
"1 STOP MONEY CENTERS, LLC",5,5,5,5,1,3,3,5,5,0,4,5,5,5,5,1,5
10 Cent Title Pawn Inc,2,2,2,2,1,0,2,2,2,0,2,2,2,2,2,0,2
1ST 2ND MORTGAGE CO. OF NJ INC,2,2,2,2,0,1,0,2,1,0,1,2,2,2,2,1,2
"1ST ALLIANCE LENDING, LLC",23,23,23,23,2,9,4,22,19,1,10,23,23,23,23,18,23
"1ST FINANCIAL, INC.",4,4,4,4,0,1,4,4,4,0,3,4,4,4,4,0,4
1ST PREFERENCE MORTGAGE CORP,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2,2
"1ST RESULTS BILLINGS & COLLECTIONS, INC.",3,3,3,3,3,0,1,2,2,0,1,3,3,3,3,0,3
"1st Capital Finance of South Carolina, Inc.",3,3,3,3,1,0,1,3,3,0,2,3,3,3,3,1,3
"1st Capital Mortgage, LLC",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1st Fidelity Loan Servicing,3,3,3,3,0,0,0,3,3,0,0,3,3,3,3,3,3
1st Florida Lending CORP,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
1st Franklin Financial Corporation,125,125,123,125,64,50,72,125,104,30,84,125,125,125,125,56,125
1st Maryland Mortgage Corporation,2,2,2,2,0,0,0,2,2,0,1,2,2,2,2,2,2
1st Midwest Mortgage Corp,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2,2
"1st Money Center, Inc.",4,4,3,4,0,3,2,4,2,0,3,4,4,4,4,2,4
1st Portfolio Holding Corporation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"1st United Funding, LLC",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
21ST MORTGAGE CORP.,449,449,447,449,37,131,0,443,380,82,221,449,449,449,449,319,449
2233 Paradise Road LLC,11,11,6,11,1,4,5,11,11,1,6,11,11,11,11,8,11
2288984 Ontario Inc.,93,93,76,93,38,50,10,93,83,21,76,93,93,93,93,32,93
24 Asset Management Corp,5,5,5,5,2,2,1,5,5,1,2,5,5,5,5,5,5
245 Holdings LLC,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
360 MORTGAGE GROUP LLC,103,103,103,103,3,42,53,101,85,49,68,103,103,103,103,60,103
3D Financial,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"3G+1, Inc. dba California Auto Finance",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"3rd Generation, Inc.",39,39,37,39,24,20,0,38,36,4,27,39,39,39,39,21,39
4 Star Resolution LLC (Closed),29,29,29,29,29,0,0,29,29,3,1,29,29,29,29,29,29
"4M Collections, LLC",19,19,19,19,19,8,14,19,16,3,14,19,19,19,19,10,19
"4finance US Holding Company, Inc.",1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1
"60 Month Loans, Inc.",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
77 Elite,8,8,8,8,8,7,6,8,4,1,8,8,8,8,8,0,8
8 Investments Corporation dba MediComm,3,3,3,3,3,1,0,3,3,1,3,3,3,3,3,0,3
99th Floor LLC,2,2,2,2,0,1,1,2,2,0,2,2,2,2,2,1,2
A & E Futures LLC,21,21,21,21,21,6,1,21,21,4,15,21,21,21,21,8,21
A & J COLLECTION,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"A & O Recovery Solutions, LLC",20,20,20,20,19,6,0,20,20,1,13,20,20,20,20,7,20
"A & S Collection Associates, Inc.",8,8,8,8,8,3,0,8,8,1,4,8,8,8,8,6,8
A Top Golden Lending,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
"A+ Financial Services, Inc.",3,3,2,3,1,0,1,2,2,0,0,3,3,3,3,2,3
"A-1 Fast Cash of Tucker, Inc",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"A-1 Premium Acceptance, Inc.",12,12,12,12,5,8,7,12,10,2,12,12,12,12,12,0,12
"A.C.S. Companies, Inc. I",5,5,5,5,5,3,3,5,4,1,5,5,5,5,5,2,5
A.I.T. Credit Services Inc.,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"A.L. Babbs and Associates, LLC",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
A.R.C. Accounts Recovery (U.S.A.) Corporation LLC,8,8,8,8,8,3,0,8,7,2,5,8,8,8,8,5,8
"A.R.M. Solutions, Inc.",130,130,130,130,130,44,106,125,114,35,68,130,130,130,130,73,130
"A/R CONCEPTS, INC.",13,13,13,13,13,6,2,13,12,0,7,13,13,13,13,11,13
"AA Recovery Solutions, Inc.",12,12,12,12,12,6,0,12,11,0,10,12,12,12,12,0,12
"AAA Auto Title Loans, LLC",27,27,27,27,11,19,11,26,23,6,26,27,27,27,27,6,27
"AAA COLLECTORS, INC.",2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,1,2
AAA Checkmate LLC,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
AAA Collections,45,45,45,45,45,20,29,45,33,8,30,45,45,45,45,32,45
"AAA Credit Bureau, Inc.",2,2,2,2,2,0,2,2,2,0,1,2,2,2,2,0,2
AAA LEGACY INVESTMENTS,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
AARON DELGADO AND ASSOCIATES INC,3,3,3,3,3,1,0,3,3,0,2,3,3,3,3,3,3
AAS Debt Recovery Inc.,21,21,20,21,21,12,14,21,15,3,17,21,21,21,21,8,21
"ABA Recovery Service, Inc.",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
ABC Credit & Recovery Services Inc.,5,5,5,5,5,0,3,5,5,0,3,5,5,5,5,3,5
ABC Finance Co.,2,2,2,2,1,0,0,2,2,0,1,2,2,2,2,2,2
ABR Recovery Services LLC.,58,58,58,58,58,38,3,58,51,7,54,58,58,58,58,2,58
ABSOLUTE CREDIT  LLC,10,10,10,10,10,7,8,10,7,0,9,10,10,10,10,0,10
"ABSOLUTE FINANCIAL SERVICES, INC",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
"AC Autopay, LLC",46,46,46,46,28,23,7,46,43,6,30,46,46,46,46,21,46
ACADEMY MORTGAGE CORPORATION,88,88,88,88,6,41,3,87,77,12,61,88,88,88,88,58,88
"ACC Management, Inc.",2,2,1,2,1,1,0,2,2,0,2,2,2,2,2,1,2
"ACCELERATED COLLECTION SERVICE, INC",12,12,12,12,12,3,1,12,11,2,6,12,12,12,12,10,12
ACCEPTANCE CAPITAL MORTGAGE,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1
ACCESS GROUP INC.,121,121,121,121,91,37,43,121,111,19,56,121,121,121,121,101,121
