company,com_response_to_consumer,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,timely_response,consumer_dis,complaint_id
"(Former)Shapiro, Swertfeger & Hasty, LLP",Untimely response,11,11,11,11,9,5,0,11,11,0,7,11,11,11,4,11
"1 STOP MONEY CENTERS, LLC",Closed with explanation,3,3,3,3,1,2,2,3,3,0,3,3,3,3,1,3
"1 STOP MONEY CENTERS, LLC",Closed with monetary relief,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
"1 STOP MONEY CENTERS, LLC",Closed with non-monetary relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1
10 Cent Title Pawn Inc,Closed with non-monetary relief,2,2,2,2,1,0,2,2,2,0,2,2,2,2,0,2
1ST 2ND MORTGAGE CO. OF NJ INC,Closed,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
1ST 2ND MORTGAGE CO. OF NJ INC,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1
"1ST ALLIANCE LENDING, LLC",Closed,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
"1ST ALLIANCE LENDING, LLC",Closed with explanation,21,21,21,21,2,8,3,20,17,0,9,21,21,21,16,21
"1ST ALLIANCE LENDING, LLC",Closed with monetary relief,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"1ST FINANCIAL, INC.",Closed with explanation,4,4,4,4,0,1,4,4,4,0,3,4,4,4,0,4
1ST PREFERENCE MORTGAGE CORP,Closed with explanation,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2
"1ST RESULTS BILLINGS & COLLECTIONS, INC.",Closed with explanation,2,2,2,2,2,0,1,1,1,0,1,2,2,2,0,2
"1ST RESULTS BILLINGS & COLLECTIONS, INC.",Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
"1st Capital Finance of South Carolina, Inc.",Closed,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"1st Capital Finance of South Carolina, Inc.",Closed with explanation,2,2,2,2,0,0,1,2,2,0,1,2,2,2,0,2
"1st Capital Mortgage, LLC",Closed with explanation,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
1st Fidelity Loan Servicing,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
1st Fidelity Loan Servicing,Untimely response,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2
1st Florida Lending CORP,Closed with explanation,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1
1st Franklin Financial Corporation,Closed,6,6,6,6,3,0,1,6,6,1,1,6,6,6,6,6
1st Franklin Financial Corporation,Closed with explanation,103,103,101,103,51,46,71,103,85,24,75,103,103,103,49,103
1st Franklin Financial Corporation,Closed with monetary relief,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
1st Franklin Financial Corporation,Untimely response,15,15,15,15,10,4,0,15,12,4,8,15,15,15,0,15
1st Maryland Mortgage Corporation,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
1st Maryland Mortgage Corporation,Untimely response,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
1st Midwest Mortgage Corp,Closed with explanation,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2
"1st Money Center, Inc.",Closed with explanation,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1
"1st Money Center, Inc.",Closed with monetary relief,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
"1st Money Center, Inc.",Untimely response,2,2,2,2,0,2,0,2,0,0,2,2,2,2,0,2
1st Portfolio Holding Corporation,Closed with monetary relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
"1st United Funding, LLC",Closed with explanation,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
21ST MORTGAGE CORP.,Closed,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
21ST MORTGAGE CORP.,Closed with explanation,437,437,435,437,37,130,0,431,368,81,220,437,437,437,308,437
21ST MORTGAGE CORP.,Closed with monetary relief,2,2,2,2,0,0,0,2,2,1,0,2,2,2,2,2
21ST MORTGAGE CORP.,Closed with non-monetary relief,9,9,9,9,0,1,0,9,9,0,1,9,9,9,8,9
2233 Paradise Road LLC,Closed,2,2,0,2,0,2,0,2,2,0,2,2,2,2,2,2
2233 Paradise Road LLC,Closed with explanation,7,7,4,7,1,2,3,7,7,0,3,7,7,7,6,7
2233 Paradise Road LLC,Closed with monetary relief,2,2,2,2,0,0,2,2,2,1,1,2,2,2,0,2
2288984 Ontario Inc.,Closed with explanation,82,82,72,82,37,46,6,82,73,19,71,82,82,82,21,82
2288984 Ontario Inc.,Closed with monetary relief,6,6,2,6,0,3,2,6,5,1,3,6,6,6,6,6
2288984 Ontario Inc.,Closed with non-monetary relief,5,5,2,5,1,1,2,5,5,1,2,5,5,5,5,5
24 Asset Management Corp,Closed,2,2,2,2,0,1,0,2,2,0,1,2,2,2,2,2
24 Asset Management Corp,Closed with explanation,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
24 Asset Management Corp,Closed with non-monetary relief,2,2,2,2,2,1,1,2,2,0,1,2,2,2,2,2
245 Holdings LLC,Closed with non-monetary relief,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
360 MORTGAGE GROUP LLC,Closed with explanation,95,95,95,95,3,38,47,93,80,45,63,95,95,95,52,95
360 MORTGAGE GROUP LLC,Closed with monetary relief,6,6,6,6,0,3,4,6,4,3,4,6,6,6,6,6
360 MORTGAGE GROUP LLC,Closed with non-monetary relief,2,2,2,2,0,1,2,2,1,1,1,2,2,2,2,2
3D Financial,Closed with explanation,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
"3G+1, Inc. dba California Auto Finance",Closed with explanation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
"3rd Generation, Inc.",Closed with explanation,39,39,37,39,24,20,0,38,36,4,27,39,39,39,21,39
4 Star Resolution LLC (Closed),Closed with explanation,14,14,14,14,14,0,0,14,14,0,0,14,14,14,14,14
4 Star Resolution LLC (Closed),Untimely response,15,15,15,15,15,0,0,15,15,3,1,15,15,15,15,15
"4M Collections, LLC",Closed with explanation,19,19,19,19,19,8,14,19,16,3,14,19,19,19,10,19
"4finance US Holding Company, Inc.",Untimely response,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
"60 Month Loans, Inc.",Closed with non-monetary relief,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
77 Elite,Closed with explanation,8,8,8,8,8,7,6,8,4,1,8,8,8,8,0,8
8 Investments Corporation dba MediComm,Closed with explanation,2,2,2,2,2,0,0,2,2,1,2,2,2,2,0,2
8 Investments Corporation dba MediComm,Closed with non-monetary relief,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
99th Floor LLC,Closed with explanation,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
99th Floor LLC,Untimely response,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
A & E Futures LLC,Closed with explanation,21,21,21,21,21,6,1,21,21,4,15,21,21,21,8,21
A & J COLLECTION,Closed with explanation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
"A & O Recovery Solutions, LLC",Untimely response,20,20,20,20,19,6,0,20,20,1,13,20,20,20,7,20
"A & S Collection Associates, Inc.",Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"A & S Collection Associates, Inc.",Closed with explanation,3,3,3,3,3,0,0,3,3,1,0,3,3,3,3,3
"A & S Collection Associates, Inc.",Untimely response,4,4,4,4,4,3,0,4,4,0,4,4,4,4,2,4
A Top Golden Lending,Closed with explanation,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1
"A+ Financial Services, Inc.",Closed with explanation,3,3,2,3,1,0,1,2,2,0,0,3,3,3,2,3
"A-1 Fast Cash of Tucker, Inc",Closed with explanation,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"A-1 Premium Acceptance, Inc.",Closed with explanation,12,12,12,12,5,8,7,12,10,2,12,12,12,12,0,12
"A.C.S. Companies, Inc. I",Closed with explanation,5,5,5,5,5,3,3,5,4,1,5,5,5,5,2,5
A.I.T. Credit Services Inc.,Closed with explanation,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"A.L. Babbs and Associates, LLC",Closed with explanation,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
A.R.C. Accounts Recovery (U.S.A.) Corporation LLC,Closed with explanation,2,2,2,2,2,0,0,2,2,1,0,2,2,2,2,2
A.R.C. Accounts Recovery (U.S.A.) Corporation LLC,Untimely response,6,6,6,6,6,3,0,6,5,1,5,6,6,6,3,6
"A.R.M. Solutions, Inc.",Closed,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2
"A.R.M. Solutions, Inc.",Closed with explanation,127,127,127,127,127,44,106,122,111,35,68,127,127,127,70,127
"A.R.M. Solutions, Inc.",Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"A/R CONCEPTS, INC.",Closed,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"A/R CONCEPTS, INC.",Closed with explanation,11,11,11,11,11,5,2,11,10,0,6,11,11,11,10,11
"A/R CONCEPTS, INC.",In progress,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
"AA Recovery Solutions, Inc.",Closed with explanation,12,12,12,12,12,6,0,12,11,0,10,12,12,12,0,12
"AAA Auto Title Loans, LLC",Closed with explanation,26,26,26,26,11,18,11,25,22,5,25,26,26,26,6,26
"AAA Auto Title Loans, LLC",Closed with monetary relief,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
"AAA COLLECTORS, INC.",Closed with explanation,2,2,2,2,2,2,1,2,2,0,2,2,2,2,1,2
AAA Checkmate LLC,Closed with explanation,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1
AAA Collections,Closed with explanation,45,45,45,45,45,20,29,45,33,8,30,45,45,45,32,45
"AAA Credit Bureau, Inc.",Closed with explanation,2,2,2,2,2,0,2,2,2,0,1,2,2,2,0,2
AAA LEGACY INVESTMENTS,Untimely response,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
AARON DELGADO AND ASSOCIATES INC,Closed with explanation,2,2,2,2,2,1,0,2,2,0,1,2,2,2,2,2
AARON DELGADO AND ASSOCIATES INC,Untimely response,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
AAS Debt Recovery Inc.,Closed with explanation,21,21,20,21,21,12,14,21,15,3,17,21,21,21,8,21
"ABA Recovery Service, Inc.",Closed with explanation,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
ABC Credit & Recovery Services Inc.,Closed with explanation,5,5,5,5,5,0,3,5,5,0,3,5,5,5,3,5
ABC Finance Co.,Closed with explanation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
ABC Finance Co.,Closed with non-monetary relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ABR Recovery Services LLC.,Closed with explanation,58,58,58,58,58,38,3,58,51,7,54,58,58,58,2,58
ABSOLUTE CREDIT  LLC,Closed with explanation,10,10,10,10,10,7,8,10,7,0,9,10,10,10,0,10
"ABSOLUTE FINANCIAL SERVICES, INC",Closed with explanation,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
"AC Autopay, LLC",Closed with explanation,20,20,20,20,4,8,7,20,19,3,11,20,20,20,20,20
"AC Autopay, LLC",Untimely response,26,26,26,26,24,15,0,26,24,3,19,26,26,26,1,26
ACADEMY MORTGAGE CORPORATION,Closed,4,4,4,4,0,0,1,4,4,0,1,4,4,4,4,4
ACADEMY MORTGAGE CORPORATION,Closed with explanation,60,60,60,60,6,35,2,59,50,8,50,60,60,60,38,60
ACADEMY MORTGAGE CORPORATION,Closed with monetary relief,10,10,10,10,0,5,0,10,9,3,6,10,10,10,5,10
ACADEMY MORTGAGE CORPORATION,Closed with non-monetary relief,14,14,14,14,0,1,0,14,14,1,4,14,14,14,11,14
"ACC Management, Inc.",Closed with explanation,2,2,1,2,1,1,0,2,2,0,2,2,2,2,1,2
"ACCELERATED COLLECTION SERVICE, INC",Closed,4,4,4,4,4,1,0,4,4,0,1,4,4,4,4,4
"ACCELERATED COLLECTION SERVICE, INC",Closed with explanation,7,7,7,7,7,1,1,7,7,2,4,7,7,7,6,7
"ACCELERATED COLLECTION SERVICE, INC",Untimely response,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
ACCEPTANCE CAPITAL MORTGAGE,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1
ACCESS GROUP INC.,Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
ACCESS GROUP INC.,Closed with explanation,120,120,120,120,90,37,43,120,110,19,56,120,120,120,100,120
ACCESS TO LOANS FOR LEARNING STUDENT LOAN CORP.,Closed with explanation,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"ACCORD CREDITOR SERVICES, LLC",Closed with explanation,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2
ACCOUNT SERVICES INC.,Closed with explanation,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
ACCOUNT SERVICES INC.,Closed with non-monetary relief,2,2,2,2,2,0,0,2,2,0,2,2,2,2,0,2
ACCOUNTS ADVOCATE AGENCY,Closed with explanation,2,2,2,2,2,1,0,2,1,0,1,2,2,2,0,2
"ACE CASH EXPRESS, INC.",Closed,65,65,35,65,28,6,0,64,63,8,10,65,65,65,65,65
"ACE CASH EXPRESS, INC.",Closed with explanation,1245,1245,951,1245,674,528,22,1220,1111,151,829,1245,1245,1245,816,1245
"ACE CASH EXPRESS, INC.",Closed with monetary relief,3,3,1,3,0,0,0,3,3,1,0,3,3,3,3,3
"ACE CASH EXPRESS, INC.",Closed with non-monetary relief,2,2,1,2,1,0,0,2,2,0,0,2,2,2,2,2
ACG FUNDING INC,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ACH Recovery Solutions,Untimely response,11,11,8,11,8,3,0,11,10,2,5,11,11,11,9,11
"ACI Worldwide, Corp.",Closed with explanation,11,11,11,11,8,4,1,10,9,2,10,11,11,11,2,11
"ACIMA CREDIT, LLC",Closed with explanation,121,121,121,121,76,69,1,117,97,17,98,121,121,121,3,121
"ACIMA CREDIT, LLC",Closed with monetary relief,2,2,2,2,0,1,0,2,0,1,1,2,2,2,0,2
ACOPIA CAPITAL GROUP,Closed with explanation,12,12,12,12,0,4,1,12,10,0,11,12,12,12,6,12
ACOPIA CAPITAL GROUP,Closed with monetary relief,3,3,3,3,0,2,0,3,3,0,2,3,3,3,2,3
"ACQ Holdings, LLC.",Closed with explanation,10,10,9,10,3,7,9,10,6,4,10,10,10,10,3,10
ACRANET INC,Closed with explanation,8,8,7,8,7,4,7,8,6,0,7,8,8,8,2,8
ACRE MORTGAGE,Closed with explanation,7,7,7,7,0,1,3,6,5,1,2,7,7,7,5,7
ACRE MORTGAGE,Closed with monetary relief,2,2,2,2,0,1,1,2,2,1,1,2,2,2,1,2
ACS Education Services,Closed,6,6,6,6,1,0,0,6,6,0,1,6,6,6,6,6
ACS Education Services,Closed with explanation,1135,1135,1134,1135,1012,479,9,1119,1009,119,780,1135,1135,1135,754,1135
ACS Education Services,Closed with monetary relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ACS Education Services,Closed with non-monetary relief,42,42,42,42,0,0,0,42,42,1,0,42,42,42,42,42
ACS Education Services,Closed with relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ACS Education Services,Closed without relief,21,21,21,21,0,0,0,21,21,0,0,21,21,21,21,21
ACS Financial LLC,Closed with explanation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
ACXIOM CORP.,Closed with explanation,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
ACXIOM CORP.,Closed with non-monetary relief,6,6,6,6,2,0,0,6,6,1,1,6,6,6,0,6
AD Capital LLC,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ADA Brown LLC dba Star of Texas Financial Solutions,Closed with monetary relief,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1
ADESA CORPORATION,Closed with explanation,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
ADF Automotives LLC,Closed with explanation,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
"ADIR INTERNATIONAL, INC.",Closed with explanation,8,8,7,8,6,8,6,8,8,1,8,8,8,8,2,8
"ADIR INTERNATIONAL, INC.",Closed with non-monetary relief,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0,2
"ADP, LLC",Closed with explanation,21,21,21,21,18,11,4,20,19,4,15,21,21,21,0,21
"ADP, LLC",Closed with monetary relief,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ADR ARBITRATION SERVICES (Closed),Closed with explanation,35,35,32,35,32,3,0,35,35,5,3,35,35,35,35,35
ADR ARBITRATION SERVICES (Closed),Untimely response,2,2,1,2,1,1,0,2,1,1,2,2,2,2,2,2
ADVANCE MORTGAGE & INVESTMENT,Closed with explanation,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
"ADVANCED DEBT COLLECTION, INC.",Closed with explanation,3,3,3,3,3,1,0,3,3,2,3,3,3,3,0,3
"ADVANTAGE RECOVERY SERVICES, INC.",Untimely response,2,2,2,2,2,0,0,2,2,0,2,2,2,2,1,2
"ADVISORS MORTGAGE GROUP, LLC",Closed with explanation,4,4,4,4,0,1,4,4,4,1,1,4,4,4,1,4
"ADVISORS MORTGAGE GROUP, LLC",Closed with monetary relief,3,3,3,3,0,3,3,3,3,1,3,3,3,3,0,3
AE Tradings Inc,Closed with explanation,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
AES/PHEAA,Closed with explanation,7534,7534,7521,7534,7236,3759,1,7438,6389,808,5912,7534,7534,7534,3138,7534
AES/PHEAA,Closed with monetary relief,144,144,144,144,131,71,0,143,119,16,109,144,144,144,75,144
AES/PHEAA,Closed with non-monetary relief,1857,1857,1852,1857,1627,922,0,1836,1583,180,1478,1857,1857,1857,661,1857
AES/PHEAA,Closed without relief,116,116,116,116,0,0,0,116,116,6,0,116,116,116,116,116
AES/PHEAA,In progress,49,49,49,49,49,0,0,49,35,3,1,49,49,49,0,49
"AFM Financial Services, LLC",Closed with explanation,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"AFM Financial Services, LLC",Untimely response,2,2,2,2,2,1,0,2,2,1,1,2,2,2,2,2
AFNI INC.,Closed,7,7,7,7,7,1,0,7,7,2,1,7,7,7,7,7
AFNI INC.,Closed with explanation,2766,2766,2733,2766,2755,1122,4,2751,2512,426,1949,2766,2766,2766,1634,2766
AFNI INC.,Closed with monetary relief,2,2,2,2,2,1,0,2,2,0,1,2,2,2,1,2
AFNI INC.,Closed with non-monetary relief,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2
AG AG LLC,Closed with explanation,4,4,4,4,0,3,1,3,3,0,3,4,4,4,0,4
AG AG LLC,Closed with monetary relief,3,3,3,3,0,2,0,3,2,1,3,3,3,3,0,3
AG AG LLC,Closed with non-monetary relief,3,3,3,3,0,2,0,3,3,0,3,3,3,3,0,3
"AGORA NOTUS, LLC",Closed with explanation,3,3,3,3,1,3,2,3,2,1,3,3,3,3,1,3
AHL Funding,Closed with explanation,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1
AIH Receivables Management Inc.,Closed with explanation,6,6,6,6,6,3,5,6,3,1,4,6,6,6,3,6
"AKT AMERICAN CAPITAL, INC. DBA AMERICAN CAPITAL CORP.",Closed with explanation,3,3,3,3,0,3,0,3,3,0,3,3,3,3,3,3
ALASKA COMMISSION ON POST SECONDARY EDUCATION,Closed with explanation,28,28,28,28,23,11,1,28,27,5,17,28,28,28,19,28
ALCHRO INC.,Closed with explanation,74,74,73,74,74,41,3,72,69,5,60,74,74,74,12,74
ALCHRO INC.,Closed with non-monetary relief,3,3,3,3,3,0,0,3,3,0,0,3,3,3,2,3
ALCHRO INC.,Untimely response,41,41,39,41,41,19,0,41,39,3,33,41,41,41,39,41
ALCOVA MORTGAGE LLC,Closed,2,2,2,2,0,0,1,2,2,0,1,2,2,2,2,2
ALCOVA MORTGAGE LLC,Closed with explanation,3,3,3,3,0,1,1,3,3,1,2,3,3,3,2,3
ALCOVA MORTGAGE LLC,Closed with monetary relief,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
"ALE Solutions, Inc.",Closed with explanation,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"ALE Solutions, Inc.",Closed with non-monetary relief,2,2,2,2,2,0,0,2,2,1,1,2,2,2,1,2
"ALEXANDER-ROSE ASSOC, INC.",Closed,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
"ALEXANDER-ROSE ASSOC, INC.",Closed with explanation,20,20,20,20,20,9,4,19,18,5,16,20,20,20,8,20
"ALEXANDER-ROSE ASSOC, INC.",Closed with monetary relief,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
"ALEXANDER-ROSE ASSOC, INC.",Closed with non-monetary relief,6,6,6,6,6,0,2,6,6,2,3,6,6,6,6,6
ALG,Closed with explanation,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"ALG Real Estate Services, Inc",Closed with monetary relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ALG Trustee LLC,Closed with explanation,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
ALKAN MORTGAGE CORPORATION,Closed with non-monetary relief,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
"ALL FAMILY FINANCE, LLC",Closed with non-monetary relief,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"ALL FAMILY FINANCE, LLC",Untimely response,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
ALL WESTERN MORTGAGE,Closed with explanation,5,5,5,5,0,2,3,5,4,0,2,5,5,5,3,5
ALL WESTERN MORTGAGE,Closed with monetary relief,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2
ALLEN TATE MORTGAGE SERVICES,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ALLEN TATE MORTGAGE SERVICES,Closed with monetary relief,2,2,2,2,0,1,2,2,1,0,2,2,2,2,1,2
ALLEN TATE MORTGAGE SERVICES,Untimely response,5,5,5,5,0,3,0,5,4,1,3,5,5,5,5,5
